Plot,Midges,Insecticides,Block,Date,Year,Total,Mites,Springtails,Beetles,Spiders,Bugs,Stern,Auchenorrhyncha,Thyanosoptera,Araneae,Linyphiidae,Lycosidae,Gnaphosidae,Thomisidae,Opiliones,Coleoptera,Ptinidae,Cryptophagidae,Staphylinidae,Carabidae,Curculionidae,Coleoptera Larval,Collembola,Entomobryidae,Isotomidae,Hypogastruridae,Neelidae,Neanuridae,Onychuridae,Poduridae,Sminthuridae,Tomoceridae,Oribatida,Mesostigmata,Prostigmata,Diptera,Psyliidae,Aphididae,Coccoidea,Miridae,Saldidae,Tingidae,Nabidae,Microphysid,Hymenoptera,Lepidoptera
1,No Midges,No Insecticides,1,4-Jul-17,2017,5366,3667,1533,33,33,0,100,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33,0,333,1000,0,0,0,0,0,200,0,3067,600,0,0,0,100,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,4-Jul-17,2017,3000,2033,800,0,100,0,67,0,0,0,100,0,0,0,0,33,0,0,0,0,0,0,0,267,200,0,0,0,0,0,333,0,1300,733,0,0,0,67,0,0,0,0,0,0,0,0
6,Midges,No Insecticides,2,4-Jul-17,2017,2665,1533,1032,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,433,33,0,0,0,0,333,0,1200,333,0,67,0,33,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,4-Jul-17,2017,1000,700,100,67,33,0,100,0,0,0,33,0,0,0,0,67,0,0,0,0,0,67,0,33,0,0,0,0,0,0,67,0,567,133,0,0,0,100,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,4-Jul-17,2017,6100,3900,1200,67,67,0,500,0,0,0,67,0,0,0,0,67,0,0,0,0,0,67,0,500,267,33,0,0,0,0,400,0,3367,533,300,33,0,0,500,0,0,0,0,0,33,0
11,No Midges,No Insecticides,3,4-Jul-17,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Midges,No Insecticides,4,4-Jul-17,2017,1765,1333,266,0,33,0,100,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,133,33,0,0,0,0,0,100,0,1033,300,0,33,0,100,0,0,0,0,0,0,0,0
16,No Midges,No Insecticides,4,4-Jul-17,2017,800,600,133,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,400,200,67,0,0,0,0,0,0,0,0,0,0,0
18,No Midges,No Insecticides,5,4-Jul-17,2017,4167,3666,67,0,67,0,167,167,0,0,67,0,0,0,0,67,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1633,2033,0,0,0,167,0,0,0,0,0,0,33,0
20,Midges,No Insecticides,5,4-Jul-17,2017,10633,7867,2333,0,100,0,100,167,0,0,100,0,0,0,0,67,0,0,0,0,0,0,0,1567,733,0,0,0,0,0,33,0,5067,2800,33,33,0,100,0,0,0,0,0,0,0,0
22,Midges,No Insecticides,6,4-Jul-17,2017,3631,2866,666,0,33,0,33,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,100,33,0,0,0,0,0,533,0,2433,433,0,0,33,0,0,0,0,0,0,0,0,0
24,No Midges,No Insecticides,6,4-Jul-17,2017,11098,8400,1999,0,133,0,233,167,33,0,133,0,0,0,0,33,0,0,0,0,0,0,0,1533,133,33,0,0,0,0,300,0,5933,2467,33,67,0,233,0,0,0,0,0,0,33,0
25,No Midges,No Insecticides,7,4-Jul-17,2017,2167,1900,167,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,67,0,1267,633,0,33,0,0,0,0,0,0,0,0,0,0
28,Midges,No Insecticides,7,4-Jul-17,2017,2233,1867,133,0,133,0,33,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,1067,800,67,0,0,33,0,0,0,0,0,0,0,0
30,No Midges,No Insecticides,8,4-Jul-17,2017,3366,2634,400,33,66,0,100,0,0,0,33,0,33,0,0,0,0,0,0,0,0,33,0,67,0,0,0,0,0,0,333,0,1767,867,67,33,0,100,0,0,0,0,0,0,33,0
32,Midges,No Insecticides,8,4-Jul-17,2017,4600,3367,1033,33,67,33,0,0,0,0,67,0,0,0,0,67,0,0,0,0,0,33,0,167,233,33,0,0,0,0,600,0,2400,967,0,67,0,0,0,0,0,33,0,0,0,0
1,No Midges,No Insecticides,1,3-Aug-17,2017,4367,3867,367,0,0,0,100,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,267,0,0,0,0,0,0,100,0,3367,167,333,0,0,100,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,3-Aug-17,2017,7700,4833,2501,33,66,0,67,0,67,0,33,0,33,0,0,0,0,0,33,0,0,0,0,2067,67,0,0,0,0,0,367,0,4333,400,100,133,0,0,67,0,0,0,0,0,0,0
6,Midges,No Insecticides,2,3-Aug-17,2017,900,667,233,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,100,0,0,0,0,0,0,133,0,500,167,0,0,0,0,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,3-Aug-17,2017,8299,5200,2333,0,133,0,100,0,233,0,33,33,0,67,0,67,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,300,0,4933,100,167,300,0,67,33,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,3-Aug-17,2017,14131,9600,3766,66,233,0,200,233,0,33,200,0,0,0,0,0,0,0,33,0,0,33,0,3233,200,0,0,0,0,0,333,0,9100,300,200,0,0,167,33,0,0,0,0,0,33,0
11,No Midges,No Insecticides,3,3-Aug-17,2017,3099,1700,999,0,200,0,67,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,533,33,0,0,0,0,0,433,0,1600,100,0,100,0,67,0,0,0,0,0,0,33,0
15,Midges,No Insecticides,4,3-Aug-17,2017,5533,2366,2367,0,500,0,267,0,0,0,500,0,0,0,0,33,0,0,0,0,0,0,0,2367,0,0,0,0,0,0,0,0,2233,133,0,0,0,200,67,0,0,0,0,0,33,0
16,No Midges,No Insecticides,4,3-Aug-17,2017,4233,3033,966,0,33,0,67,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,433,0,2633,233,167,67,0,0,67,0,0,0,0,0,67,0
18,No Midges,No Insecticides,5,3-Aug-17,2017,8066,5633,1500,0,300,0,33,500,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,0,0,267,0,5100,533,0,67,0,33,0,0,0,0,0,0,33,0
20,Midges,No Insecticides,5,3-Aug-17,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Midges,No Insecticides,6,3-Aug-17,2017,4065,2833,733,33,133,0,0,33,0,0,100,0,0,33,0,0,0,0,0,0,0,33,0,267,433,0,0,0,0,0,33,0,2467,133,233,200,0,0,0,0,0,0,0,0,100,0
24,No Midges,No Insecticides,6,3-Aug-17,2017,18965,14466,3166,0,300,0,133,600,67,0,267,0,33,0,0,100,0,0,0,0,0,0,0,2633,133,0,0,0,33,0,367,0,12933,1500,33,133,0,133,0,0,0,0,0,0,100,0
25,No Midges,No Insecticides,7,3-Aug-17,2017,1666,1200,433,0,0,0,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,367,33,0,0,0,0,0,33,0,1067,100,33,0,0,33,0,0,0,0,0,0,0,0
28,Midges,No Insecticides,7,3-Aug-17,2017,6166,3266,2634,33,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,33,0,1567,300,0,0,0,0,0,767,0,2933,233,100,33,100,0,0,0,0,0,0,0,0,0
30,No Midges,No Insecticides,8,3-Aug-17,2017,7665,5100,2033,0,99,0,300,0,0,33,33,33,0,0,0,0,0,0,0,0,0,0,0,1633,0,0,0,0,0,0,400,0,4867,233,33,33,0,267,33,0,0,0,0,0,67,0
32,Midges,No Insecticides,8,3-Aug-17,2017,11301,600,3500,67,167,0,67,0,367,0,167,0,0,0,0,0,0,0,67,0,0,0,0,2267,33,0,0,0,67,0,1133,0,433,167,6500,33,0,67,0,0,0,0,0,0,0,0
1,No Midges,No Insecticides,1,27-Jun-18,2018,1867,1767,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,67,0,0,0,0,0,0,0,1067,33,667,0,0,0,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,27-Jun-18,2018,3099,2833,200,0,0,0,33,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,167,0,2600,0,233,0,0,33,0,0,0,0,0,0,0,0
6,Midges,No Insecticides,2,27-Jun-18,2018,1667,1434,200,0,33,0,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0,67,0,0,0,0,0,133,0,1267,0,167,0,0,0,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,27-Jun-18,2018,2066,1567,233,0,66,0,0,0,200,0,33,33,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,133,0,1200,0,367,0,0,0,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,27-Jun-18,2018,7133,6000,666,0,133,0,67,200,67,0,133,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,333,0,5400,33,567,0,0,67,0,0,0,0,0,0,0,0
11,No Midges,No Insecticides,3,27-Jun-18,2018,3265,2999,233,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,2633,33,333,0,0,0,0,0,0,0,0,0,0,0
15,Midges,No Insecticides,4,27-Jun-18,2018,4299,3366,400,33,133,33,0,100,167,0,133,0,0,0,0,0,0,0,33,0,0,0,0,367,33,0,0,0,0,0,0,0,2833,133,400,0,0,0,0,0,0,0,0,33,67,0
16,No Midges,No Insecticides,4,27-Jun-18,2018,4466,4000,300,0,0,0,33,67,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,167,0,0,0,0,0,0,133,0,3767,0,233,0,0,33,0,0,0,0,0,0,33,33
18,No Midges,No Insecticides,5,27-Jun-18,2018,12232,11633,166,0,100,0,33,200,0,0,100,0,0,0,0,0,67,0,0,0,0,0,0,33,0,0,0,0,0,0,133,0,8200,0,3433,0,0,33,0,0,0,0,0,0,100,0
20,Midges,No Insecticides,5,27-Jun-18,2018,7699,6867,399,0,100,0,100,67,33,0,100,0,0,0,33,0,0,0,0,0,0,0,0,133,133,0,0,0,0,0,133,0,5600,0,1267,0,0,67,33,0,0,0,0,0,100,0
22,Midges,No Insecticides,6,27-Jun-18,2018,4266,3000,533,33,200,0,0,33,267,0,200,0,0,0,0,0,0,0,33,0,0,0,0,133,0,0,0,0,0,0,400,0,1733,0,1267,0,0,0,0,0,0,0,0,0,200,0
24,No Midges,No Insecticides,6,27-Jun-18,2018,13867,11967,867,0,200,0,400,233,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,567,0,10800,67,1100,0,0,400,0,0,0,0,0,0,100,0
25,No Midges,No Insecticides,7,27-Jun-18,2018,9000,7533,1033,0,100,0,167,100,0,0,67,33,0,0,0,0,0,0,0,0,0,0,0,400,100,0,0,0,0,0,533,0,5400,33,2100,0,0,167,0,0,0,0,0,0,67,0
28,Midges,No Insecticides,7,27-Jun-18,2018,6066,5300,133,0,133,0,267,0,133,0,133,0,0,0,33,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,33,0,4400,33,867,0,0,267,0,0,0,0,0,0,67,0
30,No Midges,No Insecticides,8,27-Jun-18,2018,9599,8600,634,0,199,33,0,33,67,0,133,33,33,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,367,0,7333,0,1267,0,0,0,0,0,33,0,0,0,33,0
32,Midges,No Insecticides,8,27-Jun-18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,No Midges,No Insecticides,1,24-Jul-18,2018,7600,2801,4533,33,100,0,0,33,100,0,67,0,33,0,0,0,0,0,33,0,0,0,0,1200,2900,0,0,33,0,0,400,0,2367,67,367,0,0,0,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,24-Jul-18,2018,4867,800,3667,0,133,0,67,0,33,0,133,0,0,0,0,0,0,0,0,0,0,0,0,1967,1333,0,0,0,0,0,367,0,400,267,133,0,0,67,0,0,0,0,0,0,167,0
6,Midges,No Insecticides,2,24-Jul-18,2018,21966,2000,19700,0,66,0,33,0,100,0,33,0,0,33,0,0,33,0,0,0,0,0,0,1600,17867,0,0,0,0,0,233,0,1467,433,100,0,0,33,0,0,0,0,0,0,67,0
7,No Midges,No Insecticides,2,24-Jul-18,2018,1833,734,767,33,100,0,133,33,33,0,100,0,0,0,0,0,0,0,0,0,0,33,0,267,233,0,0,0,0,0,267,0,467,200,67,0,0,133,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,24-Jul-18,2018,8866,2267,5733,0,233,0,166,67,33,0,233,0,0,0,0,0,0,0,0,0,0,0,0,3333,1867,0,0,0,0,0,533,0,1867,300,100,0,0,133,33,0,0,0,0,0,367,0
11,No Midges,No Insecticides,3,24-Jul-18,2018,3733,800,2499,0,134,0,267,0,33,0,67,67,0,0,0,0,0,0,0,0,0,0,0,1333,433,0,0,33,0,0,700,0,467,233,100,0,0,267,0,0,0,0,0,0,0,0
15,Midges,No Insecticides,4,24-Jul-18,2018,8099,1733,6166,0,100,0,0,0,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2233,3500,0,0,0,33,0,400,0,1133,467,133,0,0,0,0,0,0,0,0,0,67,0
16,No Midges,No Insecticides,4,24-Jul-18,2018,5399,2366,2600,0,133,0,200,0,100,0,100,33,0,0,0,0,0,0,0,0,0,0,0,1633,500,33,0,67,0,0,367,0,1733,200,433,0,0,200,0,0,0,0,0,0,0,0
18,No Midges,No Insecticides,5,24-Jul-18,2018,4999,1566,2833,33,133,0,67,200,0,0,133,0,0,0,0,0,0,0,0,0,0,33,0,1833,100,0,0,33,0,0,867,0,733,133,700,0,0,67,0,0,0,0,0,0,167,0
20,Midges,No Insecticides,5,24-Jul-18,2018,14866,2833,11333,0,367,0,0,133,67,0,367,0,0,0,33,0,67,0,0,0,0,0,0,4267,4800,0,0,33,0,0,2233,0,2233,533,67,0,0,0,0,0,0,0,0,0,100,0
22,Midges,No Insecticides,6,24-Jul-18,2018,8632,900,7600,33,33,0,33,33,0,0,33,0,0,0,0,0,33,0,0,0,0,33,0,1200,5567,0,0,0,0,0,833,0,567,200,133,0,0,33,0,0,0,0,0,0,0,0
24,No Midges,No Insecticides,6,24-Jul-18,2018,7967,2300,4734,0,200,0,233,400,67,0,167,0,33,0,0,0,0,0,0,0,0,0,0,2967,467,0,0,67,0,0,1233,0,1600,600,100,0,0,233,0,0,0,0,0,0,33,0
25,No Midges,No Insecticides,7,24-Jul-18,2018,4867,1667,2433,0,200,0,100,400,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,2000,33,0,0,0,0,0,400,0,1267,133,267,0,0,100,0,0,0,0,0,0,67,0
28,Midges,No Insecticides,7,24-Jul-18,2018,2633,633,1900,0,33,0,67,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,600,967,33,0,0,0,0,300,0,400,133,100,0,0,67,0,0,0,0,0,0,0,0
30,No Midges,No Insecticides,8,24-Jul-18,2018,6966,1533,5300,0,33,0,33,0,67,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3300,767,67,0,33,0,0,1133,0,833,267,433,0,0,33,0,0,0,0,0,0,0,0
32,Midges,No Insecticides,8,24-Jul-18,2018,6600,733,5767,33,67,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,33,0,300,3400,0,0,67,0,0,2000,0,400,200,133,0,0,0,0,0,0,0,0,0,0,0
1,No Midges,No Insecticides,1,6-Aug-18,2018,1200,333,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,267,0,0,0,0,0,33,0,200,0,133,0,0,0,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,6-Aug-18,2018,5999,633,5300,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,100,5067,0,0,0,0,0,133,0,533,100,0,0,0,0,0,0,0,0,0,0,33,0
6,Midges,No Insecticides,2,6-Aug-18,2018,15801,1700,13967,67,67,0,0,0,0,0,67,0,0,0,0,0,0,0,67,0,0,0,0,1900,12000,0,0,0,0,0,67,0,1600,100,0,0,0,0,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,6-Aug-18,2018,2700,1700,833,0,67,0,33,0,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,600,67,33,0,0,0,0,133,0,1667,33,0,0,0,33,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,6-Aug-18,2018,9300,2200,5834,33,100,0,33,1000,67,0,67,33,0,0,0,0,0,0,33,0,0,0,0,1667,3600,0,0,0,0,0,567,0,2067,133,0,0,0,33,0,0,0,0,0,0,33,0
11,No Midges,No Insecticides,3,6-Aug-18,2018,2933,800,1800,33,67,0,100,33,0,0,67,0,0,0,0,0,0,0,0,0,0,33,0,233,1267,100,0,0,0,0,200,0,567,133,100,0,0,100,0,0,0,0,0,0,100,0
15,Midges,No Insecticides,4,6-Aug-18,2018,13133,1567,11333,0,167,0,33,33,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,5867,5333,0,0,0,0,0,133,0,1167,367,33,0,0,33,0,0,0,0,0,0,0,0
16,No Midges,No Insecticides,4,6-Aug-18,2018,1667,633,867,0,0,0,100,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,200,0,0,0,0,0,300,0,433,167,33,0,0,100,0,0,0,0,0,0,0,0
18,No Midges,No Insecticides,5,6-Aug-18,2018,2200,966,1100,0,67,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,767,133,0,0,0,0,0,200,0,733,233,0,0,0,0,0,0,0,0,0,0,67,0
20,Midges,No Insecticides,5,6-Aug-18,2018,4699,1000,2800,0,33,0,33,533,300,0,33,0,0,0,0,0,0,0,0,0,0,0,0,667,2000,0,0,0,0,0,133,0,700,233,67,0,0,33,0,0,0,0,0,0,0,0
22,Midges,No Insecticides,6,6-Aug-18,2018,866,233,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,300,0,0,0,0,0,200,0,167,33,33,0,0,0,0,0,0,0,0,0,0,0
