Plot,Midges,Insecticides,Block,Year,ARUV,BAAL,BARE,BENA,BIVI,CAVU,CEFO,DET,EMNI,EQUI,FROG,FLEA,FRASS,GAVE,GRASS,JUCO,LB,LICH,MOSS,SALA,SALI,SAPH,SIAC,THAL,THYP,VAUL
1,No Midges,No Insecticides,1,2017,13,0,0,6,0,0,0,2,22,0,0,0,0,0,39,0,1,18,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,2017,17,0,0,40,0,6,0,1,4,0,0,0,0,0,31,0,1,2,0,0,0,0,0,0,0,0
3,No Midges,Insecticides,1,2017,24,3,0,9,0,5,1,5,23,0,0,0,0,0,21,0,1,10,0,0,0,0,0,0,0,0
4,Midges,Insecticides,1,2017,12,8,0,19,0,1,0,1,30,0,0,0,0,0,29,0,1,2,0,0,0,0,0,0,0,0
5,Midges,Insecticides,2,2017,23,1,0,5,0,18,0,6,12,0,0,0,0,0,32,0,2,3,0,0,0,0,1,0,0,0
6,Midges,No Insecticides,2,2017,16,0,0,11,1,8,0,5,33,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,2017,14,2,0,22,0,4,0,4,21,0,0,0,0,0,24,0,1,11,0,0,0,0,0,0,0,0
8,No Midges,Insecticides,2,2017,3,0,0,59,0,1,0,1,6,0,0,0,1,0,29,0,1,2,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,2017,1,3,0,61,0,10,0,1,1,0,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0
10,No Midges,Insecticides,3,2017,18,0,0,7,0,7,0,10,34,0,0,0,0,0,22,0,1,1,0,0,0,0,0,2,0,0
11,No Midges,No Insecticides,3,2017,16,0,0,8,0,0,0,0,17,0,0,0,0,0,53,0,1,2,0,0,0,0,0,5,0,0
12,Midges,Insecticides,3,2017,2,0,0,67,0,0,0,1,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4
13,No Midges,Insecticides,4,2017,0,0,0,83,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
14,Midges,Insecticides,4,2017,6,0,0,46,0,0,0,1,12,0,0,0,0,0,34,0,1,0,0,0,0,1,0,1,0,1
15,Midges,No Insecticides,4,2017,21,0,0,31,0,0,0,2,10,0,0,0,0,0,31,0,1,4,0,0,0,0,0,2,0,0
16,No Midges,No Insecticides,4,2017,12,2,0,24,0,1,0,2,29,0,1,0,0,0,27,0,1,2,0,0,0,0,0,1,0,0
17,Midges,Insecticides,5,2017,1,0,0,74,0,1,0,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,2
18,No Midges,No Insecticides,5,2017,2,2,0,75,1,0,0,0,7,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,2
19,No Midges,Insecticides,5,2017,13,1,0,47,0,5,0,0,11,0,0,0,0,0,23,0,1,0,0,0,0,0,0,1,0,0
20,Midges,No Insecticides,5,2017,2,0,0,81,0,0,0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,1,0
21,Midges,Insecticides,6,2017,3,1,0,63,0,10,0,1,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0
22,Midges,No Insecticides,6,2017,8,1,0,43,0,0,0,4,3,0,0,0,0,0,40,0,1,2,0,0,0,0,0,0,1,0
23,No Midges,Insecticides,6,2017,0,0,0,73,0,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,1
24,No Midges,No Insecticides,6,2017,2,0,0,70,0,0,0,1,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12
25,No Midges,No Insecticides,7,2017,1,0,0,63,0,8,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
26,Midges,Insecticides,7,2017,4,0,0,39,0,20,1,1,6,0,0,0,0,0,28,0,1,2,0,0,0,0,0,1,0,0
27,No Midges,Insecticides,7,2017,7,3,0,50,1,12,1,0,8,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0
28,Midges,No Insecticides,7,2017,9,4,0,41,0,9,0,0,15,0,0,0,0,0,21,0,2,1,0,0,0,0,0,1,0,0
29,Midges,Insecticides,8,2017,9,0,0,30,1,6,0,1,15,0,0,0,0,0,36,0,0,3,0,0,0,0,0,1,0,0
30,No Midges,No Insecticides,8,2017,6,1,0,62,0,9,0,0,9,0,0,0,0,0,13,0,1,0,0,0,0,1,0,0,0,0
31,No Midges,Insecticides,8,2017,10,2,0,46,1,14,0,2,14,0,0,0,0,0,10,0,2,0,0,0,0,0,0,1,0,1
32,Midges,No Insecticides,8,2017,20,4,0,24,0,10,0,2,28,0,0,0,0,1,9,1,1,1,1,0,0,0,0,1,0,1
1,No Midges,No Insecticides,1,2018,20,0,4,3,0,0,0,0,28,0,0,0,0,0,21,0,1,23,0,0,0,0,0,0,0,0
2,Midges,No Insecticides,1,2018,9,0,0,40,0,11,0,0,3,0,0,0,0,0,35,0,0,2,0,0,0,0,0,0,0,0
3,No Midges,Insecticides,1,2018,26,4,0,5,0,4,0,0,34,0,0,0,0,0,14,0,1,9,0,0,0,0,0,3,0,0
4,Midges,Insecticides,1,2018,14,5,0,20,0,0,0,0,13,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,0
5,Midges,Insecticides,2,2018,4,2,0,15,0,15,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
6,Midges,No Insecticides,2,2018,12,0,0,12,0,16,0,0,17,0,0,0,0,0,38,0,0,5,0,0,0,0,0,0,0,0
7,No Midges,No Insecticides,2,2018,4,3,0,34,0,1,0,0,21,0,1,0,0,0,34,0,0,2,0,0,0,0,0,0,0,0
8,No Midges,Insecticides,2,2018,1,0,0,64,0,0,0,0,5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
9,Midges,No Insecticides,3,2018,0,5,0,53,0,5,0,0,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
10,No Midges,Insecticides,3,2018,20,0,1,5,0,6,0,0,59,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0
11,No Midges,No Insecticides,3,2018,28,0,0,14,0,0,0,0,19,0,0,0,0,0,35,0,1,0,0,0,0,0,0,3,0,0
12,Midges,Insecticides,3,2018,0,0,0,65,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2
13,No Midges,Insecticides,4,2018,0,0,0,85,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
14,Midges,Insecticides,4,2018,1,0,0,44,0,0,0,0,3,0,0,0,0,0,49,0,0,0,0,0,0,3,0,0,0,0
15,Midges,No Insecticides,4,2018,13,0,0,25,0,0,0,0,4,0,0,0,0,0,57,0,1,0,0,0,0,0,0,0,0,0
16,No Midges,No Insecticides,4,2018,6,1,0,27,0,6,0,0,21,0,0,0,0,0,36,0,1,2,0,0,0,0,0,0,0,0
17,Midges,Insecticides,5,2018,0,0,0,58,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
18,No Midges,No Insecticides,5,2018,1,1,0,63,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1
19,No Midges,Insecticides,5,2018,7,2,0,49,0,6,0,0,9,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
20,Midges,No Insecticides,5,2018,0,0,0,59,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
21,Midges,Insecticides,6,2018,0,0,0,46,0,3,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
22,Midges,No Insecticides,6,2018,2,0,0,35,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
23,No Midges,Insecticides,6,2018,0,0,0,75,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
24,No Midges,No Insecticides,6,2018,0,1,0,75,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,3
25,No Midges,No Insecticides,7,2018,0,3,0,64,0,6,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0
26,Midges,Insecticides,7,2018,3,0,0,18,0,16,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0
27,No Midges,Insecticides,7,2018,7,2,0,53,0,8,0,0,10,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0
28,Midges,No Insecticides,7,2018,3,3,0,29,0,8,0,0,13,0,0,0,0,0,43,0,0,0,0,0,1,0,0,0,0,0
29,Midges,Insecticides,8,2018,1,0,0,21,0,2,0,0,1,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
30,No Midges,No Insecticides,8,2018,2,0,0,70,0,9,0,0,2,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,0,0
31,No Midges,Insecticides,8,2018,3,1,0,50,0,7,0,0,6,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,2
32,Midges,No Insecticides,8,2018,1,1,0,28,0,15,0,0,10,0,0,0,0,3,41,1,0,0,0,0,0,0,0,0,0,0
